통계표,항목명1,항목명2,단위,가중치,변환,1985/01,1985/02,1985/03,1985/04,1985/05,1985/06,1985/07,1985/08,1985/09,1985/10,1985/11,1985/12,1986/01,1986/02,1986/03,1986/04,1986/05,1986/06,1986/07,1986/08,1986/09,1986/10,1986/11,1986/12,1987/01,1987/02,1987/03,1987/04,1987/05,1987/06,1987/07,1987/08,1987/09,1987/10,1987/11,1987/12,1988/01,1988/02,1988/03,1988/04,1988/05,1988/06,1988/07,1988/08,1988/09,1988/10,1988/11,1988/12,1989/01,1989/02,1989/03,1989/04,1989/05,1989/06,1989/07,1989/08,1989/09,1989/10,1989/11,1989/12,1990/01,1990/02,1990/03,1990/04,1990/05,1990/06,1990/07,1990/08,1990/09,1990/10,1990/11,1990/12,1991/01,1991/02,1991/03,1991/04,1991/05,1991/06,1991/07,1991/08,1991/09,1991/10,1991/11,1991/12,1992/01,1992/02,1992/03,1992/04,1992/05,1992/06,1992/07,1992/08,1992/09,1992/10,1992/11,1992/12,1993/01,1993/02,1993/03,1993/04,1993/05,1993/06,1993/07,1993/08,1993/09,1993/10,1993/11,1993/12,1994/01,1994/02,1994/03,1994/04,1994/05,1994/06,1994/07,1994/08,1994/09,1994/10,1994/11,1994/12,1995/01,1995/02,1995/03,1995/04,1995/05,1995/06,1995/07,1995/08,1995/09,1995/10,1995/11,1995/12,1996/01,1996/02,1996/03,1996/04,1996/05,1996/06,1996/07,1996/08,1996/09,1996/10,1996/11,1996/12,1997/01,1997/02,1997/03,1997/04,1997/05,1997/06,1997/07,1997/08,1997/09,1997/10,1997/11,1997/12,1998/01,1998/02,1998/03,1998/04,1998/05,1998/06,1998/07,1998/08,1998/09,1998/10,1998/11,1998/12,1999/01,1999/02,1999/03,1999/04,1999/05,1999/06,1999/07,1999/08,1999/09,1999/10,1999/11,1999/12,2000/01,2000/02,2000/03,2000/04,2000/05,2000/06,2000/07,2000/08,2000/09,2000/10,2000/11,2000/12,2001/01,2001/02,2001/03,2001/04,2001/05,2001/06,2001/07,2001/08,2001/09,2001/10,2001/11,2001/12,2002/01,2002/02,2002/03,2002/04,2002/05,2002/06,2002/07,2002/08,2002/09,2002/10,2002/11,2002/12,2003/01,2003/02,2003/03,2003/04,2003/05,2003/06,2003/07,2003/08,2003/09,2003/10,2003/11,2003/12,2004/01,2004/02,2004/03,2004/04,2004/05,2004/06,2004/07,2004/08,2004/09,2004/10,2004/11,2004/12,2005/01,2005/02,2005/03,2005/04,2005/05,2005/06,2005/07,2005/08,2005/09,2005/10,2005/11,2005/12,2006/01,2006/02,2006/03,2006/04,2006/05,2006/06,2006/07,2006/08,2006/09,2006/10,2006/11,2006/12,2007/01,2007/02,2007/03,2007/04,2007/05,2007/06,2007/07,2007/08,2007/09,2007/10,2007/11,2007/12,2008/01,2008/02,2008/03,2008/04,2008/05,2008/06,2008/07,2008/08,2008/09,2008/10,2008/11,2008/12,2009/01,2009/02,2009/03,2009/04,2009/05,2009/06,2009/07,2009/08,2009/09,2009/10,2009/11,2009/12,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09
"1.3.1. 한국은행 기준금리 및 여수신금리","한국은행 기준금리","","연%","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.75","4.75","4.75","4.75","4.75","4.75","4.75","4.75","4.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.25","5.25","5.25","5.25","5.00","5.00","5.00","5.00","5.00","4.75","4.50","4.00","4.00","4.00","4.00","4.00","4.00","4.00","4.00","4.25","4.25","4.25","4.25","4.25","4.25","4.25","4.25","4.25","4.25","4.25","4.25","4.00","4.00","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.75","3.50","3.50","3.50","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.50","3.50","3.75","3.75","4.00","4.00","4.00","4.00","4.25","4.25","4.50","4.50","4.50","4.50","4.50","4.50","4.50","4.50","4.50","4.50","4.50","4.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.25","5.25","4.25","4.00","3.00","2.50","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.25","2.25","2.25","2.25","2.50","2.50","2.75","2.75","3.00","3.00","3.00","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.25","3.00","3.00","3.00","2.75","2.75","2.75","2.75","2.75","2.75","2.75","2.50","2.50","2.50","2.50","2.50","2.50","2.50","2.50","2.50","2.50","2.50","2.50","2.50","2.50","2.50","2.25","2.25","2.00","2.00","2.00","2.00","2.00","1.75","1.75","1.75","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.25","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.50","1.50","1.50","1.25","1.25","1.25","1.25","1.25","0.75","0.75","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.75","0.75","0.75","1.00","1.00","1.25","1.25","1.25","1.50","1.75","1.75","2.25","2.50",""
"1.3.3.2.1. 예금은행 대출금리(신규취급액 기준)","    가계대출","","연리% ","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.52","12.50","12.46","12.13","12.09","12.17","12.31","12.17","12.22","12.26","12.18","12.05","12.04","12.07","12.03","12.07","12.13","12.21","12.21","12.30","12.42","12.45","12.50","13.22","15.31","15.87","16.24","16.33","16.50","16.45","15.74","14.93","14.72","14.01","13.48","12.93","12.43","11.86","11.68","11.49","11.00","10.46","10.31","10.22","10.21","10.28","10.18","10.08","10.14","10.04","10.05","9.96","9.96","9.87","9.92","9.77","9.76","9.84","9.71","9.48","9.21","9.13","8.84","8.70","8.54","8.57","8.39","8.00","7.55","7.35","7.17","6.93","6.85","6.65","6.69","6.86","6.99","6.98","6.98","6.89","6.82","7.05","7.13","7.12","7.06","6.90","6.96","6.84","6.64","6.47","6.41","6.15","6.04","6.01","6.21","6.31","6.34","6.08","6.11","6.07","6.02","6.00","5.92","5.69","5.66","5.62","5.57","5.48","5.51","5.52","5.60","5.43","5.34","5.28","5.34","5.38","5.50","5.70","5.64","5.63","5.69","5.71","5.68","5.62","5.64","5.72","5.95","6.03","5.90","5.84","5.82","5.97","6.20","6.25","6.32","6.30","6.39","6.33","6.38","6.51","6.66","6.71","6.75","6.99","7.21","6.95","6.89","6.99","6.95","6.93","7.12","7.35","7.45","7.77","7.62","7.01","5.84","5.73","5.62","5.50","5.48","5.47","5.58","5.63","5.96","6.05","6.00","5.95","6.02","5.92","5.80","5.46","5.16","5.15","5.13","5.26","5.22","5.21","5.15","5.08","5.30","5.26","5.41","5.42","5.49","5.47","5.46","5.58","5.66","5.56","5.60","5.37","5.80","5.67","5.62","5.54","5.51","5.38","5.20","4.90","4.86","4.84","4.74","4.54","4.84","4.61","4.55","4.42","4.30","4.11","4.31","4.33","4.26","4.21","4.19","4.10","4.15","4.05","4.09","4.04","4.02","3.94","3.93","3.76","3.76","3.64","3.55","3.55","3.59","3.48","3.21","2.96","3.27","3.22","3.17","3.13","3.11","3.06","3.16","3.23","3.28","3.21","3.24","3.17","3.16","3.06","2.96","2.95","3.03","3.08","3.20","3.29","3.39","3.38","3.43","3.41","3.47","3.41","3.46","3.39","3.41","3.51","3.59","3.61","3.71","3.65","3.69","3.69","3.75","3.72","3.73","3.66","3.62","3.64","3.63","3.61","3.58","3.50","3.53","3.48","3.49","3.25","3.12","2.92","3.02","3.01","2.96","2.98","2.95","2.90","2.88","2.89","2.81","2.67","2.62","2.55","2.59","2.64","2.72","2.79","2.83","2.81","2.88","2.91","2.89","2.92","2.98","3.10","3.18","3.46","3.61","3.66","3.91","3.93","3.98","4.05","4.14","4.23","4.52","",""
"3.5. 외환보유액","  외환","","천달러 ","","원자료","6,685,546","6,843,700","6,659,195","6,601,523","6,541,708","6,612,691","6,646,747","6,760,494","7,126,629","7,535,670","7,684,798","7,677,109","6,994,291","7,191,960","7,321,790","7,359,150","7,308,957","7,485,532","8,096,686","8,021,479","8,102,724","7,982,941","8,009,918","7,905,058","8,300,473","8,360,079","7,845,925","7,912,637","7,941,957","8,028,218","8,195,632","8,081,344","8,464,787","8,477,982","9,434,201","9,144,023","4,639,135","5,622,375","6,942,378","7,622,063","8,218,683","8,969,919","9,546,736","10,678,072","11,720,520","12,644,429","13,735,965","12,340,016","13,366,476","13,458,710","14,086,873","14,878,492","15,694,704","15,638,771","16,902,149","16,491,763","16,912,793","17,261,259","17,135,806","14,977,832","13,653,871","13,433,768","13,586,715","14,153,114","14,544,434","14,342,399","15,289,121","15,510,380","15,568,050","15,809,794","15,801,444","14,459,147","13,606,743","13,715,570","12,611,764","12,837,710","13,233,850","13,019,702","13,337,723","12,974,088","13,475,665","13,179,306","13,196,663","13,306,008","13,606,744","14,105,214","14,053,625","14,656,264","14,912,639","14,130,807","14,804,937","15,568,390","14,983,030","15,281,382","16,388,679","16,639,926","17,336,507","17,558,907","18,150,669","18,667,651","18,617,324","18,363,423","18,246,395","18,394,226","19,150,910","19,455,173","20,910,256","19,704,200","19,975,629","20,179,177","20,178,054","20,399,986","20,803,922","21,120,236","20,950,183","21,428,100","21,779,400","23,088,000","23,403,200","25,032,000","25,634,400","25,752,333","25,878,700","26,551,800","27,068,000","27,613,600","30,184,800","30,409,400","30,414,100","31,379,100","32,433,700","31,928,200","32,496,360","34,298,826","32,634,334","35,115,676","35,425,005","35,747,700","34,238,471","32,721,123","32,005,973","31,393,112","31,475,538","32,401,948","30,154,281","28,964,295","28,365,049","29,060,097","31,109,030","32,524,661","32,901,472","30,370,270","29,654,047","29,728,008","23,627,989","19,710,347","22,778,176","26,670,464","29,676,570","35,471,699","38,292,151","40,764,004","42,885,396","44,684,197","46,904,052","48,760,364","49,931,276","51,962,972","53,242,158","55,092,075","57,088,410","58,902,265","61,051,324","61,629,871","64,581,447","64,416,959","65,110,692","65,844,438","69,323,634","73,700,287","76,580,519","79,379,080","83,299,048","84,196,399","86,471,266","89,828,329","89,928,576","91,088,486","92,189,572","92,278,804","93,004,700","95,855,137","95,077,231","94,992,054","94,108,714","93,093,718","93,292,530","93,910,933","96,711,906","98,686,163","99,743,733","100,136,002","101,316,825","102,487,506","103,970,913","104,760,586","105,758,982","107,292,208","109,261,051","111,933,751","114,991,164","116,017,552","116,104,883","116,409,399","117,741,771","120,811,409","122,294,363","123,376,939","123,217,332","122,969,827","127,673,540","130,885,557","132,132,188","135,429,908","140,751,774","142,524,138","149,540,745","154,508,796","156,601,527","162,160,352","162,712,852","162,808,907","165,700,235","166,187,956","167,170,213","169,651,697","173,602,250","177,529,184","191,720,022","198,175,363","198,821,628","201,264,108","204,625,771","205,552,480","205,286,951","204,194,844","204,901,826","205,970,674","205,993,844","206,569,201","207,579,074","209,967,669","216,506,326","215,540,201","216,936,352","222,499,561","224,291,248","223,957,095","225,312,891","226,618,548","227,819,163","228,605,627","233,687,776","238,387,872","239,709,073","242,284,509","243,385,578","246,781,374","250,263,518","250,223,420","254,394,044","254,854,592","256,848,265","259,689,586","261,471,939","261,770,734","261,421,271","261,919,949","263,778,314","260,020,096","257,672,177","257,584,214","247,011,423","242,700,146","239,175,849","211,782,682","199,785,511","200,479,128","201,019,851","200,826,035","205,624,409","211,758,382","225,776,925","230,733,885","236,508,472","240,914,493","249,409,304","259,320,280","265,954,732","265,202,306","268,917,449","265,865,270","267,567,135","274,143,774","265,595,927","269,823,186","281,425,964","280,857,511","285,152,504","288,674,448","285,668,556","286,926,356","291,028,707","292,722,582","293,641,562","302,098,558","299,530,652","298,902,963","303,942,058","305,079,571","296,321,672","303,804,804","300,768,346","298,232,927","303,104,309","307,475,369","307,578,126","308,446,159","302,690,061","304,200,221","305,367,829","307,524,888","312,674,707","314,254,696","316,030,658","316,897,731","318,870,415","316,429,576","316,534,552","317,897,005","317,380,247","315,600,728","318,890,987","320,268,934","326,108,224","332,411,299","334,262,159","335,647,450","337,588,725","341,001,159","343,612,737","345,021,964","350,184,986","355,764,147","357,302,467","356,905,661","353,970,030","353,363,934","352,801,605","353,600,472","352,337,447","352,502,108","353,332,770","360,481,327","362,109,803","364,976,561","361,136,634","358,156,216","358,418,535","359,937,704","358,868,773","358,513,845","357,860,408","356,745,942","360,825,491","363,450,086","361,728,534","360,752,001","362,248,177","366,306,387","368,589,918","366,069,533","362,543,891","361,701,404","364,576,158","364,453,419","365,826,297","367,083,534","368,925,892","371,026,348","373,938,120","374,970,930","374,836,165","374,692,523","377,544,543","379,476,576","385,895,553","384,951,294","386,902,803","388,627,503","389,269,623","390,334,499","392,182,545","390,894,325","392,778,804","392,490,527","392,777,742","393,332,482","395,148,850","394,316,487","394,770,385","393,536,122","391,495,228","392,327,320","392,258,292","390,647,791","392,518,896","395,485,316","396,674,028","397,876,077","398,743,181","398,315,607","389,322,542","392,733,030","395,719,124","398,627,184","404,236,810","406,600,863","408,231,994","414,167,853","423,963,271","430,117,234","429,558,627","434,365,551","433,222,626","439,294,230","443,481,045","441,229,418","445,714,839","439,293,477","439,199,800","444,208,416","439,131,372","438,319,248","436,836,167","437,043,509","433,022,025","425,076,761","423,355,152","414,491,928","415,046,922","412,848,791",""
"4.1.1.2. 생산자물가지수(특수분류)","  식료품에너지이외","","2015=100","858.2","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.70","84.52","84.43","84.17","83.90","83.81","83.81","83.81","83.72","83.45","83.36","83.54","83.72","83.54","83.45","83.28","83.19","82.74","82.47","82.11","82.02","81.75","81.58","81.13","81.31","81.75","82.11","82.74","82.74","82.38","82.02","82.11","82.11","82.29","82.11","82.11","82.47","82.92","83.54","83.72","83.01","82.92","82.74","82.92","83.10","83.19","83.54","83.99","84.96","86.04","86.84","87.38","87.74","87.74","87.92","88.36","88.89","89.34","89.43","88.98","89.43","89.43","89.52","89.52","88.89","88.62","88.80","88.98","89.25","89.70","89.61","89.25","89.07","89.07","88.89","88.98","89.43","89.34","89.43","89.79","90.05","89.79","89.52","89.25","89.16","89.07","89.43","90.05","90.50","90.68","90.68","90.59","90.59","90.86","90.95","91.04","91.57","92.47","93.62","95.59","97.28","98.53","100.50","100.41","100.32","100.32","98.09","96.66","96.31","97.02","97.28","97.11","96.40","96.13","96.66","97.19","97.55","97.11","97.11","97.46","97.54","97.70","97.90","98.53","99.61","99.96","100.19","100.32","100.61","101.03","101.58","102.24","103.35","104.24","105.29","106.10","106.64","106.42","106.19","106.07","106.41","106.17","105.66","105.50","106.01","106.61","106.89","106.99","106.53","105.40","104.96","105.14","105.34","104.80","104.29","103.96","103.96","104.41","104.11","103.83","103.63","103.61","103.46","103.65","103.57","103.49","103.21","103.26","103.37","103.38","103.30","103.20","103.33","103.35","103.49","103.46","103.16","102.65","102.35","101.53","100.81","100.66","100.76","100.77","100.81","100.77","100.43","99.93","99.50","98.87","98.44","98.27","98.02","97.95","97.98","98.17","98.43","98.59","98.62","98.56","98.58","98.88","99.35","100.20","101.43","101.84","101.79","101.55","101.24","100.91","100.92","101.20","101.87","102.34","102.30","102.27","102.62","102.91","102.97","103.00","103.22","103.33","103.60","103.75","103.84","103.82","103.35","102.96","102.96","103.16","103.33","103.50","103.66","103.46","103.50","103.58","103.49","103.42","103.24","103.36","103.63","103.59","102.93","102.42","102.44","102.79","103.12","103.37","103.44","103.53","103.66","104.23","105.15","105.80","106.79","108.12","108.82","109.32","110.32","110.87","111.20","112.17","112.67","112.65","113.56","114.13","115.44","116.63","117.28","117.53","117.56","117.20",""
"4.1.1.1. 생산자물가지수(기본분류)","총지수","","2015=100","1000.0","원자료","51.94","51.89","51.68","51.94","51.89","51.89","51.94","51.94","52.10","52.15","51.84","52.10","52.20","51.84","51.37","51.11","51.17","51.01","51.06","51.06","51.20","50.74","50.69","50.74","50.79","50.90","51.06","51.46","51.68","51.26","51.26","51.52","51.78","51.68","51.46","52.10","52.41","52.71","52.61","52.45","52.67","52.71","52.93","53.19","53.03","52.71","53.03","53.30","53.19","53.30","53.30","53.49","53.70","53.70","53.34","53.55","53.86","53.96","53.81","53.86","54.48","54.55","54.79","55.11","55.49","55.65","55.57","55.81","56.52","57.06","57.14","57.77","58.09","58.32","58.40","58.40","58.32","58.32","58.24","58.56","58.63","58.70","58.70","58.87","59.10","59.18","59.42","59.49","59.65","59.88","60.28","60.28","60.04","59.88","59.73","59.81","60.04","60.04","60.44","60.60","60.68","60.74","60.68","60.82","60.98","60.82","60.82","60.98","61.61","61.76","61.69","61.76","61.69","61.93","62.16","62.79","62.79","62.94","62.94","63.33","63.99","64.23","64.70","65.09","65.30","65.36","65.48","65.49","65.92","65.63","65.42","65.68","66.51","66.74","66.57","66.88","66.92","67.13","67.62","67.69","67.83","67.86","67.88","68.06","68.87","69.15","69.10","69.29","69.37","69.44","69.44","69.58","69.79","69.65","70.02","74.58","77.75","79.72","79.55","79.62","78.76","78.68","78.29","77.73","77.79","77.82","77.69","77.26","76.42","76.25","76.11","76.32","76.64","76.15","76.03","76.52","76.89","77.69","78.15","77.96","78.77","78.57","78.52","78.14","77.95","78.14","78.22","78.22","78.48","78.40","78.36","78.46","78.68","78.52","78.70","78.65","78.58","78.26","78.21","77.83","77.62","77.25","76.94","76.47","76.65","77.04","77.44","78.04","78.37","77.87","77.65","77.75","77.91","78.01","78.17","78.18","78.77","79.19","79.96","79.56","79.12","78.74","78.88","79.17","79.50","79.73","80.10","80.62","81.72","82.74","83.54","83.94","84.14","84.06","84.40","85.14","85.49","85.53","85.59","84.96","85.78","85.95","86.03","86.27","85.71","85.32","85.84","86.08","86.46","86.69","86.44","86.19","86.49","86.53","86.42","86.58","86.88","86.72","86.99","87.55","87.84","87.03","86.61","86.53","86.54","86.59","86.96","87.57","88.06","88.24","88.35","88.30","88.72","88.90","89.27","89.63","90.13","90.97","92.15","94.11","96.00","97.54","99.44","99.16","98.75","98.49","96.20","94.58","94.31","94.95","95.40","95.51","94.78","94.53","95.61","96.16","96.25","95.48","95.81","96.29","96.71","96.88","97.33","98.04","98.87","98.98","99.23","99.53","100.10","100.47","100.82","101.75","103.32","104.09","105.34","105.99","106.31","106.07","106.21","106.35","106.43","106.33","105.99","106.09","106.64","107.37","107.90","107.95","107.35","106.05","105.58","106.23","106.61","105.78","105.05","104.79","104.96","105.68","105.26","104.93","104.57","104.55","104.53","104.82","104.71","104.34","104.13","104.37","104.65","104.78","104.74","104.58","104.56","104.61","104.69","104.58","104.20","103.47","103.15","102.14","100.89","100.96","100.84","100.80","100.87","100.82","100.45","99.83","99.39","98.71","98.32","98.09","97.56","97.56","97.50","97.74","97.86","98.09","97.98","98.07","98.30","98.59","99.03","99.90","101.35","101.74","101.70","101.48","101.21","100.81","100.89","101.35","102.03","102.14","102.04","102.09","102.52","102.95","102.91","103.04","103.34","103.37","103.85","104.32","104.62","104.26","103.53","103.03","102.92","103.02","103.38","103.68","103.79","103.50","103.50","103.74","103.80","103.56","103.41","103.70","104.08","103.74","102.82","101.93","101.96","102.48","102.71","103.22","103.42","103.01","103.09","103.90","105.05","105.91","107.04","108.06","108.65","109.22","110.28","110.86","111.27","112.43","113.23","113.21","114.40","114.95","116.70","118.59","119.43","120.10","120.44","120.12",""
